Employee_Name,EmpID,Position,State,Zip,Sex,MaritalDesc,CitizenDesc,EmploymentStatus,Department,Salaries,age,Race
"Burke, Joelle",1011022820,Production Technician II,MA,2148,F,Single,US Citizen,Active,Production       ,2041.2,28,Black or African American
"Fitzpatrick, Michael  J",1109029103,Production Technician II,MA,2143,M ,Single,US Citizen,Voluntarily Terminated,Production       ,54810.02,39,White
"Huynh, Ming",1306058509,Production Technician II,MA,1742,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,66462.04,41,White
"Mancuso, Karen",1304055986,Production Technician II,MA,2176,F,Married,US Citizen,Voluntarily Terminated,Production       ,21325.55,41,Two or more races
"Pelletier, Ermine",1202031821,Production Technician II,MA,2472,F,Married,US Citizen,Voluntarily Terminated,Production       ,34169.22,48,Asian
"Trzeciak, Cybil",1107027551,Production Technician II,MA,1778,F,Single,US Citizen,Voluntarily Terminated,Production       ,11715,38,White
"Cloninger, Jennifer",1012023226,Production Technician II,MA,1752,F,Married,US Citizen,Voluntarily Terminated,Production       ,1733.6,34,White
"Gonzalez, Juan",1411071324,Production Technician II,MA,2128,M ,Married,US Citizen,Voluntarily Terminated,Production       ,36052.92,34,Black or African American
"Johnston, Yen",1306057810,Production Technician II,MA,2128,F,Single,US Citizen,Active,Production       ,28189.59,42,White
"Miller, Ned",1205033439,Production Technician II,MA,2472,M ,Single,US Citizen,Voluntarily Terminated,Production       ,52764.44,54,White
"Petingill, Shana  ",1103024843,Production Technician II,MA,2050,F,Married,Eligible NonCitizen,Active,Production       ,40483,28,Asian
"Winthrop, Jordan  ",1405067188,Production Technician II,MA,2045,M ,Single,US Citizen,Voluntarily Terminated,Production       ,38956.1,53,White
"Close, Phil",1209048697,Production Technician II,MA,2169,M ,Married,US Citizen,Voluntarily Terminated,Production       ,57555.51,45,White
"Good, Susan",1001549006,Production Technician II,MA,1886,F,Married,US Citizen,Leave of Absence,Production       ,26970.86,48,White
"Langford, Lindsey",1010022030,Production Technician II,MA,2090,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,10936.66,26,Asian
"Monkfish, Erasumus",1404066711,Production Technician II,MA,1450,M ,Married,US Citizen,Active,Production       ,31173.4,28,White
"Roberson, May",1402065340,Production Technician II,MA,1902,F,Divorced,Eligible NonCitizen,Voluntarily Terminated,Production       ,24702.3,33,White
"Wolk, Hang  T",1205033180,Production Technician II,MA,2302,F,Single,US Citizen,Active,Production       ,48678,23,White
"Bondwell, Betsy",1008021030,Production Technician II,MA,2210,F,Single,US Citizen,Voluntarily Terminated,Production       ,56167.08,52,White
"Faller, Megan ",1108028428,Production Technician II,MA,1824,F,Married,US Citizen,Active,Production       ,54273,46,Black or African American
"Hunts, Julissa",1106026433,Production Technician II,MA,2021,F,Single,US Citizen,Future Start,Production       ,34100.44,45,White
"Lunquist, Lisa",1001504432,Production Technician II,MA,2324,F,Single,US Citizen,Active,Production       ,45792.03,37,Black or African American
"Nowlan, Kristie",1104025435,Production Technician II,MA,1040,F,Single,US Citizen,Active,Production       ,31190,49,White
"Smith, Joe",1001970770,Production Technician II,MA,2045,M ,Single,US Citizen,Active,Production       ,22756.4,33,White
"Tejeda, Lenora ",1406068345,Production Technician II,MA,2129,F,Married,US Citizen,Voluntarily Terminated,Production       ,7973.63,54,White
"Beak, Kimberly  ",1303054329,Production Technician II,MA,2145,F,Married,US Citizen,Future Start,Production       ,32624.1,47,White
"Demita, Carla",1104025179,Production Technician II,MA,2343,F,Separated,US Citizen,Voluntarily Terminated,Production       ,38047,41,Black or African American
"Hankard, Earnest",1307059937,Production Technician II,MA,2155,M ,Single,US Citizen,Active,Production       ,65024,40,White
"Hendrickson, Trina",1011022932,Production Technician II,MA,2021,F,Single,US Citizen,Voluntarily Terminated,Production       ,47010.03,39,White
"Linden, Mathew",1405067565,Production Technician II,MA,1770,M ,Married,US Citizen,Leave of Absence,Production       ,51727.02,41,White
"Moran, Patrick",1408069503,Production Technician II,MA,2127,M ,Single,US Citizen,Leave of Absence,Production       ,4454,43,Hispanic
"Sahoo, Adil",1106026462,Production Technician II,MA,2062,M ,Married,US Citizen,Active,Production       ,6738.18,36,White
"Burkett, Benjamin ",1301052449,Production Technician II,MA,1890,M ,Married,US Citizen,Active,Production       ,56906.01,49,White
"Foreman, Tanya",1012023204,Production Technician II,MA,2170,F,Married,US Citizen,Voluntarily Terminated,Production       ,50531.61,40,White
"Jeannite, Tayana",1008020942,Production Technician II,MA,1821,F,Divorced,US Citizen,Active,Production       ,1204.13,50,American Indian or Alaska Native
"McCarthy, Brigit",1406067957,Production Technician II,MA,2149,F,Single,US Citizen,Active,Production       ,13428.6,41,White
"Peters, Lauren",1411071406,Production Technician II,MA,1886,F,Married,US Citizen,Voluntarily Terminated,Production       ,31121.05,37,White
"Walker, Roger",1011022818,Production Technician II,MA,2459,M ,Single,US Citizen,Active,Production       ,10292,53,Black or African American
"Akinkuolie, Sarah",1005019209,Production Technician II,MA,1810,F,Married,US Citizen,Voluntarily Terminated,Production       ,54514.81,37,White
"Davis, Daniel",1201031274,Production Technician II,MA,2458,M ,Single,Eligible NonCitizen,Active,Production       ,56434.01,26,Two or more races
"Gosciminski, Phylicia  ",1108028351,Production Technician II,MA,1824,F,Separated,US Citizen,Leave of Absence,Production       ,14497,29,American Indian or Alaska Native
"Latif, Mohammed",1104025486,Production Technician II,MA,2126,M ,Married,US Citizen,Voluntarily Terminated,Production       ,56365.75,35,White
"Monterro, Luisa",1001103149,Production Technician II,MA,2126,F,Single,US Citizen,Active,Production       ,50138.83,25,Black or African American
"Robertson, Peter",1499902991,Production Technician II,MA,2138,M ,Married,US Citizen,Voluntarily Terminated,Production       ,19191.29,38,White
"Woodson, Jason",1012023010,Production Technician II,MA,1810,M ,Single,US Citizen,Active,Production       ,62645.47,53,White
"Blount, Dianna",1403066125,Production Technician II,MA,2171,F,Single,US Citizen,Active,Production       ,65024,31,White
"Erilus, Angela",1105025661,Production Technician II,MA,2133,F,Separated,US Citizen,Active,Production       ,23456.67,30,White
"Homberger, Adrienne  J",1207046956,Production Technician II,MA,2445,F,Married,Non-Citizen,Voluntarily Terminated,Production       ,32367.89,42,White
"Lundy, Susan",1305056276,Production Technician II,MA,2122,F,Widowed,US Citizen,Voluntarily Terminated,Production       ,31289,35,White
"Moumanil, Maliki ",1301052436,Production Technician II,MA,1460,M ,Separated,US Citizen,Active,Production       ,59495,39,Black or African American
"Sloan, Constance",1012023103,Production Technician II,MA,1851,F,Single,US Citizen,Voluntarily Terminated,Production       ,6219.9,39,White
"Buccheri, Joseph  ",1101023457,Production Technician II,MA,1013,M ,Single,US Citizen,Active,Production       ,48489.13,39,White
"Fancett, Nicole",1402065085,Production Technician II,MA,2324,F,Single,US Citizen,Active,Production       ,31240,23,Black or African American
"Hutter, Rosalie",1103024924,Production Technician II,MA,2351,F,Separated,US Citizen,Future Start,Production       ,26418,54,White
"Manchester, Robyn",1110029623,Production Technician II,MA,2324,F,Married,US Citizen,Future Start,Production       ,9881,30,White
"Oliver, Brooke ",1001856521,Production Technician II,MA,2492,F,Married,US Citizen,Voluntarily Terminated,Production       ,21211.09,41,Asian
"Thibaud, Kenneth",1011022777,Production Technician II,MA,2472,M ,Widowed,US Citizen,Voluntarily Terminated,Production       ,7861.65,53,White
"Daneault, Lynn",1402065303,Sales Manager,VT,5473,F,Single,US Citizen,Active,Sales,26031.72,28,White
"Kampew, Donysha",1109029264,Sales Manager,PA,19444,F,Single,US Citizen,Voluntarily Terminated,Sales,36917.02,25,White
"Smith, John",1499902910,Sales Manager,MA,1886,M ,Divorced,US Citizen,Active,Sales,39331,49,Black or African American
"Le, Binh",1009919930,Senior BI Developer,MA,1886,F,Single,US Citizen,Active,IT/IS,61771.63,27,Asian
"Navathe, Kurt",1009919960,Senior BI Developer,MA,2056,M ,Single,US Citizen,Active,IT/IS,86859,35,Asian
"Wang, Charlie",1009919970,Senior BI Developer,MA,1887,M ,Single,US Citizen,Active,IT/IS,65250.4,37,Asian
"LeBlanc, Brandon  R",1102024115,Shared Services Manager,MA,1460,M ,Married,US Citizen,Active,Admin Offices,33465.2,36,White
"Quinn, Sean",1206043417,Shared Services Manager,MA,2045,M ,Married,Eligible NonCitizen,Voluntarily Terminated,Admin Offices,57060.75,51,Black or African American
"Andreola, Colby",1107027358,Software Engineer,MA,2110,F,Single,US Citizen,Active,Software Engineering,70429.85,53,White
"Carabbio, Judith",1101023577,Software Engineer,MA,2132,F,Single,US Citizen,Active,Software Engineering,65673.73,45,White
"Del Bosque, Keyla",1203032498,Software Engineer,MA,2176,F,Single,US Citizen,Active,Software Engineering,44492.3,38,Black or African American
"Exantus, Susan",1401064670,Software Engineer,MA,1749,F,Married,US Citizen,Terminated for Cause,Software Engineering,73450,40,Black or African American
"Martin, Sandra",1303054625,Software Engineer,MA,2135,F,Single,US Citizen,Active,Software Engineering,31457.2,54,Asian
"Patronick, Luke",1112030979,Software Engineer,MA,1844,M ,Single,US Citizen,Voluntarily Terminated,Software Engineering,33765,44,Asian
"Saada, Adell",1012023185,Software Engineer,MA,2132,F,Married,US Citizen,Active,Software Engineering,27588.4,51,White
"Szabo, Andrew",1201031324,Software Engineer,MA,2140,M ,Single,US Citizen,Active,Software Engineering,344.5,44,White
"True, Edward",1102024057,Software Engineer,MA,2451,M ,Single,Non-Citizen,Voluntarily Terminated,Software Engineering,11829.8,33,Black or African American
"Sweetwater, Alex",1001644719,Software Engineering Manager,MA,2184,M ,Single,US Citizen,Active,Software Engineering,40208,25,White
"Foster-Baker, Amy",1201031308,Sr. Accountant,MA,2050,F,Married,US Citizen,Active,Admin Offices,28461.55,44,White
"Boutwell, Bonalyn",1307060188,Sr. Accountant,MA,2468,F,Married,US Citizen,Active,Admin Offices,26237.96,32,Asian
"Ait Sidi, Karthikeyan   ",1307060199,Sr. DBA,MA,2148,M ,Married,US Citizen,Voluntarily Terminated,IT/IS,32700.05,32,White
"Carr, Claudia  N",1010022337,Sr. DBA,MA,1886,F,Single,US Citizen,Future Start,IT/IS,31209.9,54,Black or African American
"Favis, Donald  ",1412071562,Enterprise Architect,CT,6033,M ,Single,US Citizen,Terminated for Cause,IT/IS,5802,52,Black or African American
"Roehrich, Bianca",1111030266,Principal Data Architect,MA,2703,F,Single,US Citizen,Voluntarily Terminated,IT/IS,24828.7,43,White
"Daniele, Ann  ",1411071312,Sr. Network Engineer,CT,6033,F,Married,US Citizen,Leave of Absence,IT/IS,37619.01,38,White
"Lajiri,  Jyoti",1108028108,Sr. Network Engineer,MA,2169,M ,Married,US Citizen,Leave of Absence,IT/IS,27603,34,White
"Semizoglou, Jeremiah  ",904013591,Sr. Network Engineer,MA,1545,M ,Married,US Citizen,Future Start,IT/IS,27587.46,24,Asian
"South, Joe",1308060959,Sr. Network Engineer,CT,6278,M ,Single,US Citizen,Active,IT/IS,12126.53,31,White
"Warfield, Sarah",1301052347,Sr. Network Engineer,MA,2453,F,Widowed,US Citizen,Active,IT/IS,37257,46,Asian
